"","Comp1","Comp2","Comp3","Comp4","Comp5"
"LFxTRC5001ps",-0.0573385133873937,-0.011866160652468,0.0130517048804042,-0.0104235005329217,-0.00219612963140515
"LFxTRC5002ps",-0.0550593745284906,0.00531609176122908,0.0247319272607086,-0.00849927670280785,-0.00268463390817808
"LFxTRC5003ps",0.0222652735957,-0.0169855881185195,-0.00222464246668292,-0.00897950311439855,0.00875026135930625
"LFxTRC5004ps",-0.0488450994904056,0.0350310246440239,0.00360843247515101,0.0139998477479291,0.0178819532071173
"LFxTRC5005ps",-0.00640490234972252,0.0160302597288789,-0.0313655619017331,-0.0184741812895353,-0.00430806339801617
"LFxTRC5006ps",-0.0592557979498815,0.0166784537314547,-0.0124648723642026,-0.0153464205025878,-0.00990770947433098
"LFxTRC5007ps",-0.0136750877223263,0.00151941759919578,0.00616545796382909,-0.00603973818018769,-0.00443653427675499
"LFxTRC5008ps",-0.0080634372167456,0.0228127944231841,0.00250709671340324,-0.00871560625285348,-0.00721692947617762
"LFxTRC5009ps",-0.00642182792022696,0.00457480288659479,0.0280645453641473,-0.0104429195586788,-0.01921198104762
"LFxTRC5010ps",0.0293691992467216,0.00380421913420123,0.00928774782102356,0.0123449578845718,-0.00317626623850483
"LFxTRC5012ps",0.023618098499509,0.00167674326487612,-0.00645678117039782,0.0172359689810967,-0.00377262018957384
"LFxTRC5013ps",-0.00176921536609406,0.0212836232344274,-0.00485647949076927,-0.0185952807201191,-0.00701534400041066
"LFxTRC5014ps",0.0181465006148281,-0.0156982141038291,0.00555867645507825,-0.00524018692029419,-0.0118965782976826
"LFxTRC5015ps",0.00622773496269459,-0.00798763674545682,0.00529772723680785,0.0116659388625578,0.00147509750515445
"LFxTRC5016ps",-0.0205384239997402,-0.00927478583036243,0.00767740907707283,0.00959376256528772,-0.00763256710191527
"LFxTRC5017ps",-0.0336100691877312,0.000162977018801422,-0.0119803276419451,0.0262088721032315,0.00104315332524277
"LFxTRC5018ps",-0.0315956186801245,0.00820917426873462,-0.00744231679715274,0.0150655235633442,0.0166455653571131
"LFxTRC5019ps",-0.0103735827666074,-0.000170529617127739,-0.0178623244391507,0.0134631180151588,0.0116298201013602
"LFxTRC5021ps",-0.0277291879772905,-0.0378128024560455,-0.0162515028368012,0.0193545300168118,0.0166092377619632
"LFxTRC5022ps",0.0178919428928622,0.0231489630755124,0.0119653067219161,0.0203231839381721,-0.0102016469622517
"LFxTRC5025ps",-0.0036437558122929,-0.00843402526689603,0.0113653997694553,0.0133583437938755,-0.00504263077185597
"LFxTRC5030ps",-0.0123290851306557,-0.000505394626746775,-0.00492673796246698,0.0211525666867409,-0.0010870838238187
"LFxTRC5031ps",0.00127185305687967,-0.021432356345661,0.00806569112996495,0.0111494426894641,-0.00497653555355277
"LFxTRC5032ps",0.0192140335321597,-0.0105352946989467,0.010952413194938,0.00672703263772801,-0.00199287410729589
"LFxTRC5033ps",-0.0237362804051412,-0.00138428284511325,0.025697328501298,0.0147603860698389,-0.00148823219390394
"LFxTRC5034ps",-0.00121435044310788,0.0080359188593493,0.0102342514893799,0.0131581640128338,-0.0197019767549859
"LFxTRC5035ps",-0.0198393502090775,0.0198709743385849,0.0035978596856821,-0.00172156838120859,-0.00148601768658924
"LFxTRC5036ps",-0.0283533177519359,-0.0105370080455479,0.019073773933497,0.00859880124198506,0.000893182080890345
"LFxTRC5037ps",-0.0425572256090661,0.000827613891411127,0.00380976217596126,0.00892949689477159,-0.000876460142460545
"LFxTRC5038ps",-0.0186556904723984,-0.00320179548548985,-0.00750155846403866,-0.00835235037149421,0.001253758897907
"LFxTRC5039ps",0.0183235353624839,-0.00201158961134548,0.0138393909118732,0.00281346792526992,0.00866345374749588
"LFxTRC5040ps",0.0275665967212616,0.0102013552056795,0.00637770945620657,0.00209714194848931,0.0116478859238924
"LFxTRC5041ps",-0.0131591863461615,0.00214958693978195,-0.0228126542234976,0.00175170891413438,0.00278150518122252
"LFxTRC5042ps",-0.0219041998253564,-0.0217425809977774,0.00684549589163922,-0.00377218445593561,0.011180205414644
"LFxTRC5046ps",0.0189628763427411,-0.0189469009436144,0.0146190835295443,-0.00859023829219387,-0.00983482553355283
"LFxTRC5047ps",0.0428033777248282,-0.0153834400011054,-0.00295070258339454,-0.0162236022787792,-0.00952526540926792
"LFxTRC5048ps",-0.000787267561984998,0.0137223443770992,-0.00452970649090805,-0.0149530282697124,-0.0167788753189181
"LFxTRC5049ps",0.0115927756368567,0.0218544521979156,0.0107844773019184,0.0201842379522581,0.00406287358112595
"LFxTRC5050ps",-0.00656838056813797,-0.00412590037290859,0.00330769450641623,0.0251005027807496,-0.00958225225046574
"LFxTRC5051ps",-0.00206472029205047,-0.0177135118406396,-0.0125361709714471,0.00222121130552566,-0.0100020367803191
"LFxTRC5053ps",-0.0154470827656106,0.00369589096958701,0.00434884068340754,0.0112833951786241,-0.00876004087538373
"LFxTRC5057ps",-0.0121633473669482,-0.0136049717516064,0.00857813051495109,0.0175014879312231,-0.00792552207027304
"LFxTRC5058ps",-0.0250768760681759,0.00165213891304206,0.00813732564525338,0.0225024783517636,0.00125054085679073
"LFxTRC5059ps",0.00894182529828903,0.0161350330527766,-0.00694241105040139,0.0170683238051055,-0.00399429783833806
"LFxTRC5061ps",-0.0350232274515159,-0.0282224565838931,0.021422078485298,-0.00135988452404367,-0.00773878545264201
"LFxTRC5062ps",0.0316135482640391,0.00402984062537619,-0.000558136889705855,0.0243527114311449,0.00953242858035342
"LFxTRC5064ps",-0.018392673156578,0.0074204022893715,0.00284326296826809,0.0138215303943228,-0.0097721052517983
"LFxTRC5065ps",-0.027498718691726,-0.0170726383301046,-0.0061732369993579,0.00378494761383522,0.000981419971433879
"LFxTRC5068ps",0.0115920858354749,-0.0178883256835182,-0.0135864907355727,0.019907872294298,-0.0168841018478996
"LFxTRC5069ps",-0.013985156869759,-0.00902594941352949,0.0133042444381346,0.00402537203308942,-0.00588455763448318
"LFxTRC5070ps",-0.00287939535368668,0.0119739412396018,0.0236079353319444,0.0140478147483707,-0.000618904913635359
"LFxTRC5071ps",0.0226708876343132,0.000659208738214388,-0.000827620390022577,0.00665980563557475,-0.000407009064570328
"LFxTRC5072ps",0.00987879179979198,0.00501409653659701,0.00174227822154213,-0.0103934914011857,-0.00330574666126734
"LFxTRC5073ps",-0.002260169771594,0.0100528832283985,-0.00665219211462293,-0.00964574041247589,0.0140410686744386
"LFxTRC5074ps",0.0191923034214041,0.000325318736865601,0.00931893989857411,-0.0126801411082993,0.00396873956247021
"LFxTRC5076ps",0.0397848384271712,-0.00635394779002488,0.00220385425669962,0.0156837996973744,-0.0148862941449114
"LFxTRC5077ps",-0.0323887831308016,-0.0265296360013393,0.0123019563544724,-0.00639198799207504,0.000762258400737795
"LFxTRC5078ps",0.010045845941274,0.00536513983187878,-0.0084119786454552,-0.00665972305235244,-0.00615622679222166
"LFxTRC5079ps",-0.0082888063319685,0.0100574476878647,-0.00626812911853059,-0.00740320205381495,-0.00640522821190177
"LFxTRC5080ps",-0.0614281850853197,0.00732446890989564,-0.00902701962558381,-0.0177949361109206,-0.00591501138451367
"LFxTRC5081ps",0.00238933458733331,-0.00854695184047102,-0.00744215412074258,-0.0166470568262554,-0.0137718134457254
"LFxTRC5082ps",-0.0133500065298215,0.0289633602493677,0.0257809669624052,-0.00641483818413805,0.00622698866886745
"LFxTRC5083ps",-0.0100530532046533,0.00766912713493622,-0.00214770965940879,-0.00594878919488713,0.0188476451384782
"LFxTRC5084ps",-0.0172287299716733,-0.00966150576440059,0.0011326471232088,-0.0109425911768912,-0.016228154305148
"LFxTRC5085ps",0.0118855111094788,0.0277530250132211,0.018771317090162,0.0123518827637849,-0.00929870023237851
"LFxTRC5086ps",0.00114761852797128,-0.00849385454174159,-0.00364832752243632,-0.00459551521323947,0.000935188990891256
"LFxTRC5087ps",-0.0139981876843556,-0.0145567770419038,-0.0189482093216945,-0.00427504742791146,0.0186420094328599
"LFxTRC5088ps",-0.000936424786577733,0.0102082986838282,0.0184318077272189,-0.00909325019434045,-0.00013574162466365
"LFxTRC5089ps",0.011373811691861,0.0102893066947716,-0.00665289483734359,-0.0179924995399258,0.0010189255702523
"LFxTRC5090ps",-0.0376053507949289,0.0105531237127946,-0.000849546286490044,0.0038553955119188,0.0243993866431733
"LFxTRC5091ps",-0.0169061266497501,0.00401275770765758,0.00505532992524525,-0.0220091656583756,0.0179821173381439
"LFxTRC5092ps",0.00295632036814556,-0.00112102305123843,-0.0161013219610713,-0.0126780884712138,-0.00377183534086803
"LFxTRC5093ps",-0.0170154071094237,-0.00796028485127991,-0.0056730953415862,0.0190757137343157,-0.00547978763156503
"LFxTRC5094ps",0.0136406528136986,0.0196452168214444,0.0220026609543168,-0.00555616929108911,-0.0154328975522433
"LFxTRC5095ps",-0.0169226947973623,-0.0127101198155421,-0.018189954797901,-0.00834785904648217,0.0166454601623707
"LFxTRC5096ps",-0.0250787279869631,0.00344875945819132,0.0198536346034228,-0.00361535644572836,0.0089888336126353
"LFxTRC5097ps",0.0326704537299766,0.00913202101975683,0.00397157223629221,-0.00627656995817035,0.0232677511858271
"LFxTRC5098ps",-0.0170280284789132,-0.0118153212263536,-0.0136177483293858,-0.0087911032520835,0.0206473992744698
"LFxTRC5099ps",-0.00536613619042826,0.00677149099111377,0.009259263914022,0.00332035395367474,-0.00905900220172666
"LFxTRC5100ps",0.00610142678247461,0.0133443851401497,-0.00313882025469459,-0.00292814273457205,0.016362721940824
"LFxTRC5101ps",0.00868263092994312,-0.00438704634955904,0.00516783547455506,-0.00241250959178038,0.00758895595981806
"LFxTRC5102ps",0.00628843297184794,0.00196934259281219,0.0278173295567059,-0.0046219118892167,0.00162675334128598
"LFxTRC5103ps",0.00918062989736543,0.00820684532927443,-0.00849779532611049,-0.00577172884701539,-0.00412140461381618
"LFxTRC5104ps",0.00810570598211957,0.0113143931907647,0.00554738444423468,0.00277849959242057,-0.00783431203251984
"LFxTRC5105ps",-0.0236607685008433,0.0035723191226838,-0.00119223638861766,-0.0014149832363551,-0.00532016976132749
"LFxTRC5106ps",-0.00917063044462439,-0.0144407608643603,0.0211721315560202,-0.0113712971487161,0.00354093029498131
"LFxTRC5107ps",-0.029399488369967,0.0277827631688751,0.0086400690066039,-0.00272576355557286,0.000231987698937612
