"","log likelihood","AICc","Alpha Peak 1","Alpha Peak 2","Rate Peak 1","Rate Peak 2","Theta Peak 1","Theta Peak 2"
"137",63.9340560310365,-117.762848904178,24.1886699649188,24.1886699649188,0.013751468018554,0.013751468018554,0.0353410997171844,-0.00985238563131874
"138",63.2090687464437,-116.312874334993,100,100,0.0603879207343556,0.0603879207343556,0.0267464425392184,-0.00987120384727244
"139",58.7848183622658,-107.464373566637,100,100,0.0873121127852966,0.0873121127852966,0.019714447753202,-0.00731964064128857
"140",62.4856706987745,-114.866078239654,100,100,0.0641558760893431,0.0641558760893431,0.0254920228061987,-0.00947734746412077
"141",60.0655552836676,-110.02584740944,100,100,0.0784640627284199,0.0784640627284199,0.0236375839491519,-0.00734153357049906
"142",62.3711660251837,-114.637068892473,100,100,0.0647516726602885,0.0647516726602885,0.0262375300386098,-0.00916149824159365
"143",62.9651225855277,-115.824982013161,100,100,0.0616263509237975,0.0616263509237975,0.0256378748577144,-0.00984537436606268
"144",63.036741482631,-115.968219807367,100,100,0.0612635790806454,0.0612635790806454,0.0259968339751512,-0.0097637879733678
"145",63.6852276127127,-117.265192067531,19.6509559161957,19.6509559161957,0.0114051441772931,0.0114051441772931,0.0324223368499075,-0.0103927370926955
"146",60.9202740965971,-111.7352850353,100,100,0.0730778932778763,0.0730778932778763,0.0235923317720247,-0.00943763093503238
"147",63.5060606318471,-116.9068581058,16.1913406195265,16.1913406195265,0.0095373940998507,0.0095373940998507,0.0283250118255486,-0.0127318096897784
"148",61.9578114361322,-113.81035971437,100,100,0.0670316370528345,0.0670316370528345,0.0264296016173785,-0.00888724909226173
"149",60.0512535490627,-109.997243940231,100,100,0.0785523625436811,0.0785523625436811,0.0205028647746083,-0.0101539762009161
"150",63.0395238129988,-115.973784468103,100,100,0.0612412007916704,0.0612412007916704,0.0256079247935624,-0.00977430800686025
"151",63.5199205499005,-116.934577941906,67.8464189943312,67.8464189943312,0.0399273241590058,0.0399273241590058,0.028924883310763,-0.00974594043903249
"152",62.4796112498789,-114.853959341863,100,100,0.064171762380958,0.064171762380958,0.0268089687942711,-0.00892262141357516
"153",63.5257792159829,-116.946295274071,37.1189971396155,37.1189971396155,0.0218324040337306,0.0218324040337306,0.0297275522763764,-0.00994709897384015
"154",62.8889370291797,-115.672610900465,100,100,0.0620259548793081,0.0620259548793081,0.0297995040135767,-0.00884741646993882
